Name,Parent,Opening,ROC,Domestic,Budget,Mkting,Distrib,Year,Genre,ParentRev,NProfit,Date,GProfit,Total,Overseas
Jurassic Park 3D,Comcast (Universal),18.620145,149.6175,45.385,0,10,Universal,2013,Sci-Fi Horror,24.96175,14.96175,05/04/2013,24.96175,45.385,0
Minions,Comcast (Universal),115.718405,578.9,336.046,74,37,Universal,2015,Animation,753.609,642.609,10/07/2015,679.609,1159.398,823.353
The Purge,Comcast (Universal),34.05836,555.1,64.473,3,4.5,Universal,2013,Thriller,49.131,41.631,07/06/2013,46.131,89.329,24.856
Ouija,Comcast (Universal),19.875995,521.5,50.856,5,5,Universal,2014,Horror,62.154,52.154,24/10/2014,57.154,103.59,52.734
Fifty Shades of Grey,Comcast (Universal),85.17145,518.6,166.167,40,20,Universal,2015,Romance,371.154,311.154,13/02/2015,331.154,571.006,404.839
The Visit,Comcast (Universal),25.42756,490.7,65.206,5,5,Universal,2015,Horror,59.07,49.07,11/09/2015,54.07,98.45,33.244
Despicable Me 2,Comcast (Universal),83.517315,453.5,368.061,76,38,Universal,2013,Animation,630.995,516.995,03/07/2013,554.995,970.762,602.701
The Secret Life of Pets,Comcast (Universal),104.352905,405.8,368.384,75,37.5,Universal,2016,Animation,569.048,456.548,08/07/2016,494.048,875.458,507.074
Lucy,Comcast (Universal),43.89934,402,126.664,40,20,Universal,2014,Sci-Fi Action,301.184,241.184,25/07/2014,261.184,463.36,336.696
Jurassic World,Comcast (Universal),208.80627,382.6,652.271,150,75,Universal,2015,Action / Adventure,1085.761,860.761,12/06/2015,935.761,1670.401,1018.13
Ted,Comcast (Universal),54.415205,376.1,218.815,50,25,Universal,2012,Comedy,357.089,282.089,29/06/2012,307.089,549.368,330.553
Neighbors,Comcast (Universal),49.033915,351.1,150.157,18,18,Universal,2014,Comedy,162.399,126.399,09/05/2014,144.399,270.665,120.508
Devil,Comcast (Universal),12.289375,276.2,33.601,5,5,Universal,2010,Horror,37.617,27.617,17/09/2010,32.617,62.695,29.094
The Purge:,Comcast (Universal),29.816675,273.1,71.963,9,9,Universal,2014,Thriller,67.157,49.157,18/07/2014,58.157,111.928,39.966
The Purge:,Comcast (Universal),31.51511,255.8,79.213,10,10,Universal,2016,Thriller,71.153,51.153,01/07/2016,61.153,118.588,39.375
Furious 7,Comcast (Universal),147.18704,245.8,353.007,190,95,Universal,2015,Action,985.43,700.43,03/04/2015,795.43,1516.046,1163.039
Despicable Me,Comcast (Universal),56.397125,241.1,251.514,69,34.5,Universal,2010,Animation,353.024,249.524,09/07/2010,284.024,543.114,291.6
Insidious Chapter 3,Comcast (Universal),22.692741,238.9,52.219,10,10,Focus Features,2015,Horror,67.79,47.79,05/06/2015,57.79,112.984,60.765
Dallas Buyers Club,Comcast (Universal),8.1894,231.2,27.298,5,5,Focus Features,2013,Drama,33.119,23.119,01/11/2013,28.119,55.198,27.9
Les Miserables (2012),Comcast (Universal),27.281735,213.9,148.81,61,30.5,Universal,2012,Musical,287.177,195.677,25/12/2012,226.177,441.81,293
Pitch Perfect 2,Comcast (Universal),69.21689,197.4,184.296,29,29,Universal,2015,Comedy,172.504,114.504,15/05/2015,143.504,287.506,103.21
Mama,Comcast (Universal),28.40231,192.9,71.628,15,15,Universal,2013,Horror,87.857,57.857,18/01/2013,72.857,146.428,74.8
Sing,Comcast (Universal),35.258145,189.4,265.338,75,37.5,Universal,2016,Animation,325.545,213.045,21/12/2016,250.545,500.838,235.5
The Boy Next Door,Comcast (Universal),14.910105,188.3,35.423,4,6,Universal,2015,Thriller,28.834,18.834,23/01/2015,24.834,52.426,17.002
Ouija:,Comcast (Universal),14.0655,172.4,35.145,9,9,Universal,2016,Horror,49.024,31.024,21/10/2016,40.024,81.706,46.561
Bridesmaids,Comcast (Universal),26.24741,166.2,169.107,32.5,32.5,Universal,2011,Comedy,173.03,108.03,13/05/2011,140.53,288.384,119.277
The Theory of Everything,Comcast (Universal),10.7682,147.5,35.894,15,15,Focus Features,2014,Drama,74.236,44.236,07/11/2014,59.236,123.727,87.833
Fast Five,Comcast (Universal),86.198765,117.1,209.838,125,62.5,Universal,2011,Action,406.99,219.49,29/04/2011,281.99,626.138,416.3
Straight Outta Compton,Comcast (Universal),60.20018,116,161.198,28,28,Universal,2015,Drama,120.981,64.981,14/08/2015,92.981,201.635,40.437
Dr. Seuss' The Lorax,Comcast (Universal),70.21707,115.9,214.03,70,35,Universal,2012,Animation,226.746,121.746,02/03/2012,156.746,348.84,134.81
Fast & Furious 6,Comcast (Universal),97.375245,113.6,238.68,160,80,Universal,2013,Action,512.642,272.642,24/05/2013,352.642,788.68,550
American Reunion,Comcast (Universal),21.51408,103.7,57.012,50,25,Universal,2012,Comedy,152.744,77.744,06/04/2012,102.744,234.99,177.978
Pitch Perfect,Comcast (Universal),19.5003,103.6,65.001,17,17,Universal,2012,Comedy,69.21,35.21,28/09/2012,52.21,115.35,50.349
Skyline,Comcast (Universal),11.692415,100.5,21.394,10,10,Universal,2010,Thriller,40.093,20.093,12/11/2010,30.093,66.821,45.427
Non-Stop,Comcast (Universal),28.875635,93.1,92.169,50,25,Universal,2014,Thriller,144.827,69.827,28/02/2014,94.827,222.81,130.641
The Danish Girl,Comcast (Universal),3.3342,92.6,11.114,10,10,Focus Features,2015,Drama,38.515,18.515,27/11/2015,28.515,64.192,53.078
The Kids Are All Right,Comcast (Universal),6.2433,90.9,20.811,4,6,Focus Features,2010,Comedy,19.088,9.088,09/07/2010,15.088,34.706,13.894
Ride Along,Comcast (Universal),41.51617,85.4,134.938,25,25,Universal,2014,Comedy,92.681,42.681,17/01/2014,67.681,154.469,19.531
Dumb and Dumber To,Comcast (Universal),36.111775,84,86.208,40,20,Universal,2014,Comedy,110.394,50.394,14/11/2014,70.394,169.837,83.629
Bridget Jones's Baby,Comcast (Universal),8.571785,81.7,24.252,35,35,Universal,2016,Romantic Comedy,127.171,57.171,16/09/2016,92.171,211.952,187.7
Lone Survivor,Comcast (Universal),37.5288,67.7,125.096,40,20,Universal,2013,Action Drama,100.622,40.622,25/12/2013,60.622,154.803,29.707
The Girl on the Train (2016),Comcast (Universal),24.536265,66.8,75.395,45,22.5,Universal,2016,Thriller,112.571,45.071,07/10/2016,67.571,173.186,97.791
Everest (2015),Comcast (Universal),13.0446,60.3,43.482,55,27.5,Universal,2015,Thriller,132.228,49.728,18/09/2015,77.228,203.428,159.945
Sinister 2,Comcast (Universal),10.542116,58.6,27.741,10,10,Focus Features,2015,Horror,31.729,11.729,21/08/2015,21.729,52.882,25.141
Johnny English Reborn,Comcast (Universal),3.8333,54.1,8.306,45,22.5,Universal,2011,Action Comedy,104.051,36.551,21/10/2011,59.051,160.079,151.773
That Awkward Moment,Comcast (Universal),8.742109,51.8,26.069,8,8,Focus Features,2014,Romantic Comedy,24.281,8.281,31/01/2014,16.281,40.469,14.4
Jason Bourne,Comcast (Universal),59.215365,50,162.434,120,60,Universal,2016,Action,270.065,90.065,29/07/2016,150.065,415.485,253.051
Identity Thief,Comcast (Universal),34.551025,49.1,134.507,35,35,Universal,2013,Comedy,104.379,34.379,08/02/2013,69.379,173.965,39.458
London Has Fallen,Comcast (Universal),21.635601,48.6,62.524,60,30,Focus Features,2016,Action,133.74,43.74,04/03/2016,73.74,205.754,143.23
Ted 2,Comcast (Universal),33.50787,38.1,81.476,68,34,Universal,2015,Comedy,140.85,38.85,26/06/2015,72.85,216.692,135.215
Anna Karenina,Comcast (Universal),0.32069,37.9,12.816,15,15,Focus Features,2012,Drama,41.357,11.357,16/11/2012,26.357,68.929,56.113
Ride Along 2,Comcast (Universal),35.243095,35,91.222,40,20,Universal,2016,Action Comedy,80.993,20.993,15/01/2016,40.993,124.605,33.383
Little Fockers,Comcast (Universal),30.833665,34.6,148.439,100,50,Universal,2010,Comedy,201.923,51.923,22/12/2010,101.923,310.651,162.212
Dracula Untold,Comcast (Universal),23.514615,34.4,56.28,70,35,Universal,2014,Action Horror,141.131,36.131,10/10/2014,71.131,217.124,160.844
Legend,Comcast (Universal),0.086836,28.9,1.873,10,10,Universal,2015,Crime Drama,25.784,5.784,20/11/2015,15.784,42.973,41.1
The Best Man Holiday,Comcast (Universal),30.107555,28.5,70.525,17,17,Universal,2013,Comedy / Drama,43.702,9.702,15/11/2013,26.702,72.836,2.311
Moonrise Kingdom,Comcast (Universal),13.6536,28,45.512,16,16,Focus Features,2012,Drama,40.958,8.958,25/05/2012,24.958,68.263,22.751
Hop,Comcast (Universal),37.54371,26.5,108.085,63,31.5,Universal,2011,Comedy,119.57,25.07,01/04/2011,56.57,183.954,75.868
Krampus,Comcast (Universal),16.293325,23.1,42.725,15,15,Universal,2015,Horror Comedy,36.929,6.929,04/12/2015,21.929,61.549,18.823
Trainwreck,Comcast (Universal),30.09704,20.7,110.213,35,35,Universal,2015,Comedy,84.478,14.478,17/07/2015,49.478,140.796,30.583
One Day,Comcast (Universal),5.079566,18.8,13.844,15,15,Focus Features,2011,Romance,35.633,5.633,19/08/2011,20.633,59.389,45.546
Warcraft,Comcast (Universal),24.16611,17.5,47.365,160,80,Universal,2016,Fantasy,281.89,41.89,10/06/2016,121.89,433.677,386.312
Contraband,Comcast (Universal),24.349815,15.5,66.528,25,25,Universal,2012,Thriller,57.757,7.757,13/01/2012,32.757,96.262,29.734
The Forest,Comcast (Universal),12.741176,12.8,26.594,10,10,Focus Features,2016,Horror,22.565,2.565,08/01/2016,12.565,37.608,11.014
The Adjustment Bureau,Comcast (Universal),21.15773,10.4,62.496,50.2,25.1,Universal,2011,Sci-Fi Thriller,83.115,7.815,04/03/2011,32.915,127.869,65.374
Unbroken,Comcast (Universal),30.621445,9,115.638,65,32.5,Universal,2014,War Drama,106.238,8.738,25/12/2014,41.238,163.443,47.805
Sanctum,Comcast (Universal),9.44793,8.6,23.209,30,30,Universal,2011,Thriller,65.165,5.165,04/02/2011,35.165,108.609,85.4
Safe House,Comcast (Universal),40.17272,6.1,126.373,85,42.5,Universal,2012,Action Thriller,135.249,7.749,10/02/2012,50.249,208.076,81.703
Paul,Comcast (Universal),13.04331,6.1,37.413,40,20,Universal,2011,Sci-Fi Comedy,63.69,3.69,18/03/2011,23.69,97.984,60.571
Sisters,Comcast (Universal),13.922855,5,87.045,30,30,Universal,2015,Comedy,63.007,3.007,18/12/2015,33.007,105.011,17.966
Oblivion,Comcast (Universal),37.054485,3.3,89.107,120,60,Universal,2013,Sci-Fi Adventure,186.01,6.01,19/04/2013,66.01,286.169,197.061
The American,Comcast (Universal),13.17779,1.8,35.606,20,20,Focus Features,2010,Drama / Thriller,40.726,0.726,01/09/2010,20.726,67.876,32.27
Snow White and the Huntsman,Comcast (Universal),56.2177,1.1,155.332,170,85,Universal,2012,Adventure,257.785,2.785,01/06/2012,87.785,396.593,241.26
Get Him to the Greek,Comcast (Universal),17.570955,-1.1,60.974,40,20,Universal,2010,Comedy,59.32,-0.68,04/06/2010,19.32,91.261,30.287
Beginners,Comcast (Universal),0.14134,-1.6,5.791,3.2,4.8,Focus Features,2011,Drama,7.872,-0.128,03/06/2011,4.672,14.312,8.521
Suffragette,Comcast (Universal),0.076244,-4,4.702,5,5,Focus Features,2015,Drama,9.601,-0.399,23/10/2015,4.601,16.002,11.3
The Bourne Legacy,Comcast (Universal),38.142825,-4.3,113.204,125,62.5,Universal,2012,Action,179.494,-8.006,10/08/2012,54.494,276.145,162.941
A Million Ways to Die in the West,Comcast (Universal),16.797385,-5.5,43.139,40,20,Universal,2014,Western Comedy,56.673,-3.327,30/05/2014,16.673,87.19,44.05
2 Guns,Comcast (Universal),27.05913,-6.3,75.612,61,30.5,Universal,2013,Action Comedy,85.761,-5.739,02/08/2013,24.761,131.94,56.328
Tower Heist,Comcast (Universal),24.02519,-11.6,78.047,75,37.5,Universal,2011,Comedy,99.405,-13.095,04/11/2011,24.405,152.931,74.884
"Hail, Caesar!",Comcast (Universal),11.355225,-13.2,30.498,22,22,Universal,2016,Comedy,38.189,-5.811,05/02/2016,16.189,63.648,33.15
The Boss,Comcast (Universal),23.586645,-18.4,63.286,29,29,Universal,2016,Comedy,47.307,-10.693,08/04/2016,18.307,78.845,15.559
Nanny McPhee Returns,Comcast (Universal),8.407685,-20.1,29.011,35,35,Universal,2010,Family,55.951,-14.049,20/08/2010,20.951,93.251,64.24
Savages (2012),Comcast (Universal),16.01691,-20.1,47.382,45,22.5,Universal,2012,Thriller,53.928,-13.572,06/07/2012,8.928,82.966,35.584
The Boxtrolls,Comcast (Universal),17.275239,-21.1,50.837,60,30,Focus Features,2014,Animation,71.035,-18.965,26/09/2014,11.035,109.285,58.448
Riddick,Comcast (Universal),19.030375,-22.4,42.025,38,38,Universal,2013,Sci-Fi Fantasy,59.002,-16.998,06/09/2013,21.002,98.337,56.312
ParaNorman,Comcast (Universal),14.08705,-22.6,56.003,60,30,Focus Features,2012,Animation,69.64,-20.36,17/08/2012,9.64,107.139,51.136
This Is 40,Comcast (Universal),11.579175,-24.5,67.545,35,35,Universal,2012,Comedy,52.835,-17.165,21/12/2012,17.835,88.059,20.514
Almost Christmas,Comcast (Universal),15.134235,-25,42.065,17,17,Universal,2016,Comedy,25.492,-8.508,11/11/2016,8.492,42.487,0.422
Larry Crowne,Comcast (Universal),13.096065,-28,35.608,30,30,Universal,2011,Romantic Comedy,43.205,-16.795,01/07/2011,13.205,72.008,36.4
Rush (2013),Comcast (Universal),8.0844,-28.8,26.948,38,38,Universal,2013,Action Drama,54.149,-21.851,20/09/2013,16.149,90.248,63.3
The Place Beyond the Pines,Comcast (Universal),6.4212,-29,21.404,15,15,Focus Features,2013,Drama,21.292,-8.708,29/03/2013,6.292,35.486,14.082
Robin Hood,Comcast (Universal),36.063385,-30.3,105.27,200,100,Universal,2010,Period Adventure,209.086,-90.914,14/05/2010,9.086,321.67,216.4
The World's End,Comcast (Universal),8.81179,-30.9,26.005,20,20,Focus Features,2013,Comedy,27.653,-12.347,23/08/2013,7.653,46.089,20.084
About Time,Comcast (Universal),4.5969,-31.2,15.323,38,38,Universal,2013,Comedy,52.26,-23.74,01/11/2013,14.26,87.1,71.778
The Debt,Comcast (Universal),9.909499,-31.5,31.178,20,20,Focus Features,2011,Drama / Thriller,27.382,-12.618,31/08/2011,7.382,45.636,14.459
Kevin Hart:,Comcast (Universal),11.76721,-34.46944444,23.591,9.9,9.9,Universal,2016,Concert,12.97505,-6.82495,14/10/2016,3.07505,23.591,0
Kick-Ass 2,Comcast (Universal),13.332955,-34.9,28.796,28,28,Universal,2013,Action Comedy,36.478,-19.522,16/08/2013,8.478,60.796,32
My Big Fat Greek Wedding 2,Comcast (Universal),17.86195,-35.8,59.69,60,30,Universal,2016,Comedy,57.8,-32.2,25/03/2016,-2.2,88.923,29.234
Hanna,Comcast (Universal),12.370549,-36.2,40.259,30,30,Focus Features,2011,Adventure,38.269,-21.731,08/04/2011,8.269,63.782,23.523
The Change-Up,Comcast (Universal),13.531115,-37.1,37.081,52,26,Universal,2011,Comedy,49.043,-28.957,05/08/2011,-2.957,75.45,38.369
Battleship,Comcast (Universal),25.534825,-37.2,65.423,209,104.5,Universal,2012,Action,196.966,-116.534,18/05/2012,-12.034,303.025,237.603
The Huntsman:,Comcast (Universal),19.445035,-37.8,48.39,115,57.5,Universal,2016,Action / Adventure,107.243,-65.257,22/04/2016,-7.757,164.989,116.599
Somewhere,Comcast (Universal),0.119086,-40.3,1.786,7,7,Focus Features,2010,Comedy / Drama,8.362,-5.638,22/12/2010,1.362,13.937,12.151
Crimson Peak,Comcast (Universal),13.14331,-41.2,31.09,55,27.5,Universal,2015,Horror,48.542,-33.958,16/10/2015,-6.458,74.68,43.59
A Walk Among the Tombstones,Comcast (Universal),12.75878,-43,26.308,28,28,Universal,2014,Drama,31.909,-24.091,19/09/2014,3.909,53.182,26.874
Babies,Comcast (Universal),2.16046,-43,7.32,5,5,Focus Features,2010,Documentary,5.697,-4.303,07/05/2010,0.697,9.495,2.175
The Five-Year Engagement,Comcast (Universal),10.61006,-46.1,28.836,30,30,Universal,2012,Comedy,32.346,-27.654,27/04/2012,2.346,53.91,25.074
Seventh Son,Comcast (Universal),7.21764,-47.9,17.223,95,47.5,Universal,2015,Fantasy,74.216,-68.284,06/02/2015,-20.784,114.179,96.955
Endless Love (2014),Comcast (Universal),13.307125,-47.9,23.438,20,20,Universal,2014,Romance,20.831,-19.169,14/02/2014,0.831,34.718,11.28
Nocturnal Animals,Comcast (Universal),3.1989,-48.4,10.663,17,17,Focus Features,2016,Drama / Thriller,17.552,-16.448,18/11/2016,0.552,29.253,18.59
