Name,Parent,Opening,ROC,Domestic,Budget,Mkting,Distrib,Year,Genre,ParentRev,NProfit,Date,GProfit,Total,Overseas
Youth in Revolt,weinsteincompany,6.888334,-67.2,15.281,18.0,18.0,Weinstein / Dimension,2010,Comedy,11.791,-24.209,2010-01-08,-6.209,19.651,4.37
The Concert,weinsteincompany,0.021742,-31.4,0.658,18.0,18.0,Weinstein Company,2010,Foreign,24.688,-11.312,2010-07-30,6.688,41.146,40.488
The Tillman Story,weinsteincompany,0.052185,N/A,0.803,5,5,Weinstein Company,2010,Documentary,N/A,N/A,2010-08-20,N/A,N/A,N/A
Piranha 3D,weinsteincompany,10.106872,4.0,25.003,24.0,24.0,Weinstein / Dimension,2010,Horror,49.913,1.913,2010-08-20,25.913,83.188,58.185
Nowhere Boy,weinsteincompany,0.052749,-91.8,1.457,24.0,24.0,Weinstein Company,2010,Drama,3.947,-44.053,2010-10-08,-20.053,6.578,5.121
The King's Speech,weinsteincompany,N/A,728.4,138.797,15.0,15.0,Weinstein Company,2010,Historical Drama,248.527,218.527,2010-11-26,233.527,414.212,275.414
The Iron Lady,weinsteincompany,N/A,129.9,30.018,15.0,15.0,Weinstein Company,2011,Drama,68.974,38.974,2011-12-30,53.974,114.957,84.939
The Company Men,weinsteincompany,0.647797,-90.2,4.441,15.0,15.0,Weinstein Company,2011,Drama,2.93,-27.07,2011-01-21,-12.07,4.883,0.441
Miral,weinsteincompany,0.066244,-98.2,0.373,15.0,15.0,Weinstein Company,2011,Drama,0.541,-29.459,2011-03-25,-14.459,0.901,0.527
The King's Speech (PG-13),weinsteincompany,1.133162,N/A,138.797,15.0,15.0,Weinstein Company,2011,Historical Drama,N/A,N/A,2011-04-01,N/A,N/A,N/A
Scream 4,weinsteincompany,18.69209,5.2,38.181,40.0,20.0,Weinstein / Dimension,2011,Horror,63.14,3.14,2011-04-15,23.14,97.139,58.958
Coriolanus,weinsteincompany,0.061136,-98.8,0.757,40.0,20.0,Weinstein Company,2012,Period Drama,0.697,-59.303,2012-01-20,-39.303,1.073,0.315
Quartet,weinsteincompany,N/A,-35.5,18.39,40.0,20.0,Weinstein Company,2013,Comedy,38.688,-21.312,2013-01-11,-1.312,59.52,41.13
Regression,weinsteincompany,0.033915,-80.9,0.055,40.0,20.0,Weinstein / Dimension,2016,Thriller,11.486,-48.514,2016-02-05,-28.514,17.671,17.616
Jane Got a Gun,weinsteincompany,0.835572,-98.4,1.514,40.0,20.0,Weinstein Company,2016,Western,0.984,-59.016,2016-01-29,-39.016,1.514,N/A
Sing Street,weinsteincompany,0.063573,-85.2,3.237,40.0,20.0,Weinstein Company,2016,Musical,8.856,-51.144,2016-04-15,-31.144,13.625,10.387
Clown,weinsteincompany,0.02692,-99.9,0.055,40.0,20.0,Weinstein / Dimension,2016,Horror Thriller,0.036,-59.964,2016-06-17,-39.964,0.055,N/A
Hands of Stone,weinsteincompany,1.751388,-94.89999999999999,4.713,40.0,20.0,Weinstein Company,2016,Drama,3.063,-56.937,2016-08-26,-36.937,4.713,N/A
Wild Oats,weinsteincompany,0.021554,N/A,0.041,40.0,20.0,Weinstein / Dimension,2016,Adventure Comedy,N/A,N/A,2016-09-16,N/A,N/A,N/A
Lion,weinsteincompany,N/A,-51.800000000000004,30.369,40.0,20.0,Weinstein Company,2016,Drama,28.941,-31.059,2016-11-25,-11.059,44.524,14.155
Eva,weinsteincompany,0.010395,-100.0,0.017,40.0,20.0,Weinstein Company,2015,Foreign,0.011,-59.989,2015-03-13,-39.989,0.017,N/A
Woman in Gold,weinsteincompany,N/A,68.10000000000001,33.308,11.0,11.0,Weinstein Company,2015,Drama,36.972,14.972,2015-04-01,25.972,61.62,28.312
